dataset,condition,pct_203,pct_204,pct_206,pct_allRI,share_203_of_RI
GSE109125,Healthy_CD4_Naive,0.0,44.7,25.0,69.7,0
GSE109125,Healthy_CD8_Naive_6wk,0.0,49.0,10.1,59.1,0
GSE109125,Healthy_CD8_Naive_7wk,15.6,6.8,2.0,24.4,64
GSE109125,CD8_MPEC,12.8,6.7,2.2,21.7,59
GSE109125,CD8_Tcm,18.9,11.5,3.7,34.1,55
GSE109125,CD8_Effector_SLEC,20.9,10.3,3.2,34.4,61
GSE147371,GVHD_CD4_Tn,10.6,2.7,2.6,15.9,67
GSE147371,GVHD_CD4_Tem,14.3,9.7,4.4,28.4,50
GSE203167,WT_Pre,1.3,25.0,6.8,33.1,4
GSE203167,WT_Post7,1.5,2.4,1.2,5.1,29
GSE203167,TCF7cKO_Pre,2.5,8.0,5.4,15.9,16
GSE203167,TCF7cKO_Post7,1.4,1.6,0.4,3.4,41
