sample,transcript_id,TPM,gene,biotype
CD8_Effector_1,ENSMUST00000168919,122.618437,Klrk1,protein_coding
CD8_Effector_1,ENSMUST00000032252,330.498319,Klrk1,protein_coding
CD8_Effector_1,ENSMUST00000095412,0,Klrk1,protein_coding
CD8_Effector_1,ENSMUST00000152256,71.355192,Klrk1,retained_intron
CD8_Effector_1,ENSMUST00000137660,144.391667,Klrk1,retained_intron
CD8_Effector_1,ENSMUST00000204694,22.318209,Klrk1,retained_intron
CD8_Effector_1,ENSMUST00000192506,3.719245,Gapdh,retained_intron
CD8_Effector_1,ENSMUST00000147954,15.414695,Gapdh,retained_intron
CD8_Effector_1,ENSMUST00000117757,0,Gapdh,protein_coding
CD8_Effector_1,ENSMUST00000118875,625.963182,Gapdh,protein_coding
CD8_Effector_1,ENSMUST00000073605,0,Gapdh,protein_coding
CD8_Effector_1,ENSMUST00000183272,0,Gapdh,protein_coding
CD8_Effector_1,ENSMUST00000182464,0,Gapdh,retained_intron
CD8_Effector_1,ENSMUST00000144205,0,Gapdh,protein_coding_CDS_not_defined
CD8_Effector_1,ENSMUST00000182115,0,Gapdh,protein_coding_CDS_not_defined
CD8_Effector_1,ENSMUST00000182052,0,Gapdh,protein_coding
CD8_Effector_1,ENSMUST00000182277,0,Gapdh,protein_coding
CD8_Effector_1,ENSMUST00000182670,0,Gapdh,protein_coding_CDS_not_defined
CD8_Effector_1,ENSMUST00000144588,1.709667,Gapdh,retained_intron
CD8_Effector_1,ENSMUST00000100497,5842.806691,Actb,protein_coding
CD8_Effector_1,ENSMUST00000196997,0,Actb,protein_coding_CDS_not_defined
CD8_Effector_1,ENSMUST00000167721,574.520265,Actb,protein_coding
CD8_Effector_1,ENSMUST00000171419,3164.754828,Actb,protein_coding
CD8_Effector_1,ENSMUST00000167386,9.570587,Actb,protein_coding_CDS_not_defined
CD8_Effector_1,ENSMUST00000163829,0,Actb,protein_coding
CD8_Effector_1,ENSMUST00000106216,2.932348,Actb,protein_coding
CD8_Effector_1,ENSMUST00000165629,22.755516,Actb,retained_intron
CD8_Effector_1,ENSMUST00000164765,10.889921,Actb,retained_intron
CD8_MPEC_1,ENSMUST00000168919,51.052458,Klrk1,protein_coding
CD8_MPEC_1,ENSMUST00000032252,175.227435,Klrk1,protein_coding
CD8_MPEC_1,ENSMUST00000095412,4.334598,Klrk1,protein_coding
CD8_MPEC_1,ENSMUST00000152256,22.59841,Klrk1,retained_intron
CD8_MPEC_1,ENSMUST00000137660,38.792106,Klrk1,retained_intron
CD8_MPEC_1,ENSMUST00000204694,6.748048,Klrk1,retained_intron
CD8_MPEC_1,ENSMUST00000192506,1.755936,Gapdh,retained_intron
CD8_MPEC_1,ENSMUST00000147954,10.998135,Gapdh,retained_intron
CD8_MPEC_1,ENSMUST00000117757,0,Gapdh,protein_coding
CD8_MPEC_1,ENSMUST00000118875,893.089848,Gapdh,protein_coding
CD8_MPEC_1,ENSMUST00000073605,0,Gapdh,protein_coding
CD8_MPEC_1,ENSMUST00000183272,0,Gapdh,protein_coding
CD8_MPEC_1,ENSMUST00000182464,0,Gapdh,retained_intron
CD8_MPEC_1,ENSMUST00000144205,0,Gapdh,protein_coding_CDS_not_defined
CD8_MPEC_1,ENSMUST00000182115,0,Gapdh,protein_coding_CDS_not_defined
CD8_MPEC_1,ENSMUST00000182052,7.491042,Gapdh,protein_coding
CD8_MPEC_1,ENSMUST00000182277,0.639458,Gapdh,protein_coding
CD8_MPEC_1,ENSMUST00000182670,0,Gapdh,protein_coding_CDS_not_defined
CD8_MPEC_1,ENSMUST00000144588,0,Gapdh,retained_intron
CD8_MPEC_1,ENSMUST00000100497,14339.975173,Actb,protein_coding
CD8_MPEC_1,ENSMUST00000196997,2019.412247,Actb,protein_coding_CDS_not_defined
CD8_MPEC_1,ENSMUST00000167721,10.577606,Actb,protein_coding
CD8_MPEC_1,ENSMUST00000171419,21.468534,Actb,protein_coding
CD8_MPEC_1,ENSMUST00000167386,0,Actb,protein_coding_CDS_not_defined
CD8_MPEC_1,ENSMUST00000163829,0,Actb,protein_coding
CD8_MPEC_1,ENSMUST00000106216,0.623724,Actb,protein_coding
CD8_MPEC_1,ENSMUST00000165629,11.259061,Actb,retained_intron
CD8_MPEC_1,ENSMUST00000164765,4.331539,Actb,retained_intron
CD8_MPEC_2,ENSMUST00000168919,38.050324,Klrk1,protein_coding
CD8_MPEC_2,ENSMUST00000032252,112.929358,Klrk1,protein_coding
CD8_MPEC_2,ENSMUST00000095412,0,Klrk1,protein_coding
CD8_MPEC_2,ENSMUST00000152256,10.971042,Klrk1,retained_intron
CD8_MPEC_2,ENSMUST00000137660,23.779736,Klrk1,retained_intron
CD8_MPEC_2,ENSMUST00000204694,4.171271,Klrk1,retained_intron
CD8_MPEC_2,ENSMUST00000192506,2.072159,Gapdh,retained_intron
CD8_MPEC_2,ENSMUST00000147954,4.744128,Gapdh,retained_intron
CD8_MPEC_2,ENSMUST00000117757,0,Gapdh,protein_coding
CD8_MPEC_2,ENSMUST00000118875,1006.805028,Gapdh,protein_coding
CD8_MPEC_2,ENSMUST00000073605,0,Gapdh,protein_coding
CD8_MPEC_2,ENSMUST00000183272,0,Gapdh,protein_coding
CD8_MPEC_2,ENSMUST00000182464,0,Gapdh,retained_intron
CD8_MPEC_2,ENSMUST00000144205,0,Gapdh,protein_coding_CDS_not_defined
CD8_MPEC_2,ENSMUST00000182115,0,Gapdh,protein_coding_CDS_not_defined
CD8_MPEC_2,ENSMUST00000182052,0,Gapdh,protein_coding
CD8_MPEC_2,ENSMUST00000182277,1.337659,Gapdh,protein_coding
