sample_id,salmon_dir,srr,gsm,condition,genotype_treatment,infection,timepoint,subset,read_length,layout
pMIG_Cl13_Prog_1,pMIG_Cl13_Prog_1,SRR7826992,GSM3388395,pMIG_Cl13_Progenitor,pMIG_empty_vector,LCMV_Cl13,D7,ProgenitorLike,50,SINGLE
pMIG_Cl13_Prog_2,pMIG_Cl13_Prog_2,SRR7826993,GSM3388396,pMIG_Cl13_Progenitor,pMIG_empty_vector,LCMV_Cl13,D7,ProgenitorLike,50,SINGLE
pMIG_Cl13_Prog_3,pMIG_Cl13_Prog_3,SRR7826994,GSM3388397,pMIG_Cl13_Progenitor,pMIG_empty_vector,LCMV_Cl13,D7,ProgenitorLike,50,SINGLE
pMIG_Cl13_TermEx_1,pMIG_Cl13_TermEx_1,SRR7826995,GSM3388398,pMIG_Cl13_TermExhausted,pMIG_empty_vector,LCMV_Cl13,D7,TerminallyExhausted,50,SINGLE
pMIG_Cl13_TermEx_2,pMIG_Cl13_TermEx_2,SRR7826996,GSM3388399,pMIG_Cl13_TermExhausted,pMIG_empty_vector,LCMV_Cl13,D7,TerminallyExhausted,50,SINGLE
pMIG_Cl13_TermEx_3,pMIG_Cl13_TermEx_3,SRR7826997,GSM3388400,pMIG_Cl13_TermExhausted,pMIG_empty_vector,LCMV_Cl13,D7,TerminallyExhausted,50,SINGLE
Arm_D4.5_EarlyEff_1,Arm_D4.5_EarlyEff_1,SRR8453541,GSM3568595,Arm_D4.5_EarlyEffector,WT_P14,LCMV_Arm,D4.5,EarlyEffector,50,SINGLE
Arm_D4.5_EarlyEff_2,Arm_D4.5_EarlyEff_2,SRR8453542,GSM3568596,Arm_D4.5_EarlyEffector,WT_P14,LCMV_Arm,D4.5,EarlyEffector,50,SINGLE
Arm_D4.5_EarlyEff_3,Arm_D4.5_EarlyEff_3,SRR8453543,GSM3568597,Arm_D4.5_EarlyEffector,WT_P14,LCMV_Arm,D4.5,EarlyEffector,50,SINGLE
Arm_D7_SLEC_1,Arm_D7_SLEC_1,SRR8453557,GSM3568611,Arm_D7_SLEC,WT_P14,LCMV_Arm,D7,ShortLivedEffector,50,SINGLE
Arm_D7_SLEC_2,Arm_D7_SLEC_2,SRR8453558,GSM3568612,Arm_D7_SLEC,WT_P14,LCMV_Arm,D7,ShortLivedEffector,50,SINGLE
Arm_D7_SLEC_3,Arm_D7_SLEC_3,SRR8453559,GSM3568613,Arm_D7_SLEC,WT_P14,LCMV_Arm,D7,ShortLivedEffector,50,SINGLE
Arm_D7_MPEC_1,Arm_D7_MPEC_1,SRR8453560,GSM3568614,Arm_D7_MPEC,WT_P14,LCMV_Arm,D7,MemoryPrecursor,50,SINGLE
Arm_D7_MPEC_2,Arm_D7_MPEC_2,SRR8453561,GSM3568615,Arm_D7_MPEC,WT_P14,LCMV_Arm,D7,MemoryPrecursor,50,SINGLE
Arm_D7_MPEC_3,Arm_D7_MPEC_3,SRR8453562,GSM3568616,Arm_D7_MPEC,WT_P14,LCMV_Arm,D7,MemoryPrecursor,50,SINGLE
Cl13_D7_TermEx_1,Cl13_D7_TermEx_1,SRR8453553,GSM3568607,Cl13_D7_TermExhausted,WT_P14,LCMV_Cl13,D7,TerminallyExhausted,50,SINGLE
Cl13_D7_TermEx_2,Cl13_D7_TermEx_2,SRR8453554,GSM3568608,Cl13_D7_TermExhausted,WT_P14,LCMV_Cl13,D7,TerminallyExhausted,50,SINGLE
Cl13_D7_Prog_1,Cl13_D7_Prog_1,SRR8453555,GSM3568609,Cl13_D7_Progenitor,WT_P14,LCMV_Cl13,D7,ProgenitorLike,50,SINGLE
Cl13_D7_Prog_2,Cl13_D7_Prog_2,SRR8453556,GSM3568610,Cl13_D7_Progenitor,WT_P14,LCMV_Cl13,D7,ProgenitorLike,50,SINGLE
