sample_id,salmon_dir,srr,condition,cell_type,genotype,timepoint,geo_accession
WT_Pre_1,WT_Pre_1,SRR19241934,WT_Pre,CD8+,WT,Pre-transplant,GSM6160948
WT_Pre_2,WT_Pre_2,SRR19241933,WT_Pre,CD8+,WT,Pre-transplant,GSM6160949
WT_Pre_3,WT_Pre_3,SRR19241932,WT_Pre,CD8+,WT,Pre-transplant,GSM6160950
WT_Post7_1,WT_Post7_1,SRR19241928,WT_Post7,CD8+,WT,Post-transplant Day7,GSM6160954
WT_Post7_2,WT_Post7_2,SRR19241927,WT_Post7,CD8+,WT,Post-transplant Day7,GSM6160955
WT_Post7_3,WT_Post7_3,SRR19241926,WT_Post7,CD8+,WT,Post-transplant Day7,GSM6160956
TCF7cKO_Pre_1,TCF7cKO_Pre_1,SRR19241937,TCF7cKO_Pre,CD8+,TCF7cKO,Pre-transplant,GSM6160945
TCF7cKO_Pre_2,TCF7cKO_Pre_2,SRR19241936,TCF7cKO_Pre,CD8+,TCF7cKO,Pre-transplant,GSM6160946
TCF7cKO_Pre_3,TCF7cKO_Pre_3,SRR19241935,TCF7cKO_Pre,CD8+,TCF7cKO,Pre-transplant,GSM6160947
TCF7cKO_Post7_1,TCF7cKO_Post7_1,SRR19241931,TCF7cKO_Post7,CD8+,TCF7cKO,Post-transplant Day7,GSM6160951
TCF7cKO_Post7_2,TCF7cKO_Post7_2,SRR19241930,TCF7cKO_Post7,CD8+,TCF7cKO,Post-transplant Day7,GSM6160952
TCF7cKO_Post7_3,TCF7cKO_Post7_3,SRR19241929,TCF7cKO_Post7,CD8+,TCF7cKO,Post-transplant Day7,GSM6160953
