sample_id,salmon_dir,srr,condition,cell_type,dataset,age,sorting,geo_accession
Healthy_CD4Nve_1,Healthy_CD4Nve_1,SRR6467017,Healthy_CD4_Naive,CD4+,GSE109125,6wk,CD4+CD8-TCRbhi_CD62Lhi_CD44lo_CD25-_Dump-,GSM2932601
Healthy_CD4Nve_2,Healthy_CD4Nve_2,SRR6467018,Healthy_CD4_Naive,CD4+,GSE109125,6wk,CD4+CD8-TCRbhi_CD62Lhi_CD44lo_CD25-_Dump-,GSM2932602
Healthy_CD4Nve_3,Healthy_CD4Nve_3,SRR6467019,Healthy_CD4_Naive,CD4+,GSE109125,6wk,CD4+CD8-TCRbhi_CD62Lhi_CD44lo_CD25-_Dump-,GSM2932603
Healthy_CD4Nve_4,Healthy_CD4Nve_4,SRR6467020,Healthy_CD4_Naive,CD4+,GSE109125,6wk,CD4+CD8-TCRbhi_CD62Lhi_CD44lo_CD25-_Dump-,GSM2932604
Healthy_CD8Nve_1,Healthy_CD8Nve_1,SRR6467025,Healthy_CD8_Naive_6wk,CD8+,GSE109125,6wk,CD4-CD8+TCRbhi_CD62Lhi_CD44lo_Dump-,GSM2932609
Healthy_CD8Nve_2,Healthy_CD8Nve_2,SRR6467026,Healthy_CD8_Naive_6wk,CD8+,GSE109125,6wk,CD4-CD8+TCRbhi_CD62Lhi_CD44lo_Dump-,GSM2932610
Healthy_CD8Nve_3,Healthy_CD8Nve_3,SRR6467041,Healthy_CD8_Naive_7wk,CD8+,GSE109125,7wk,CD4-CD8+TCRbhi_CD62Lhi_CD44lo_Dump-,GSM2932625
Healthy_CD8Nve_4,Healthy_CD8Nve_4,SRR6467042,Healthy_CD8_Naive_7wk,CD8+,GSE109125,7wk,CD4-CD8+TCRbhi_CD62Lhi_CD44lo_Dump-,GSM2932626
CD8_Naive_1,CD8_Naive_1,SRR6467044,CD8_Naive_alt,CD8+,GSE109125,6wk,CD8+CD44-_CD4-MHCII-B220-Gr1-Ter119-,GSM2932628
CD8_Naive_2,CD8_Naive_2,SRR6467045,CD8_Naive_alt,CD8+,GSE109125,6wk,CD8+CD44-_CD4-MHCII-B220-Gr1-Ter119-,GSM2932629
CD8_Effector_1,CD8_Effector_1,SRR6467043,CD8_Effector_SLEC,CD8+,GSE109125,32wk,CD8+KLRG1+CD127-_CD45.1+,GSM2932627
CD8_Tcm_1,CD8_Tcm_1,SRR6467039,CD8_Tcm,CD8+,GSE109125,32wk,CD8+CD44+CD62L+_CD45.1+,GSM2932623
CD8_Tcm_2,CD8_Tcm_2,SRR6467040,CD8_Tcm,CD8+,GSE109125,32wk,CD8+CD44+CD62L+_CD45.1+,GSM2932624
CD8_MPEC_1,CD8_MPEC_1,SRR6467037,CD8_MPEC,CD8+,GSE109125,7wk,CD8+KLRG1-CD127+_CD45.1+,GSM2932621
CD8_MPEC_2,CD8_MPEC_2,SRR6467038,CD8_MPEC,CD8+,GSE109125,7wk,CD8+KLRG1-CD127+_CD45.1+,GSM2932622
GVHD_Tn,Tn_GSM4427970_28_29,SRR11389228+SRR11389229,GVHD_CD4_Tn,CD4+,GSE147371,12-13wk,CD44lo_CD62Lhi,GSM4427970
GVHD_Tem_1,Tem_GSM4427964_22_23,SRR11389222+SRR11389223,GVHD_CD4_Tem,CD4+,GSE147371,12-13wk,CD44hi_CD62Llo,GSM4427964
GVHD_Tem_2,Tem_GSM4427966_24_25,SRR11389224+SRR11389225,GVHD_CD4_Tem,CD4+,GSE147371,12-13wk,CD44hi_CD62Llo,GSM4427966
GVHD_Tem_3,Tem_GSM4427968_26_27,SRR11389226+SRR11389227,GVHD_CD4_Tem,CD4+,GSE147371,12-13wk,CD44hi_CD62Llo,GSM4427968
