dataset,condition,n,mean_201,mean_202,mean_201plus202,CV_201,CV_202,CV_201plus202
GSE147371,GVHD_CD4_Tn,1,1.42,0.0,1.42,nan,nan,nan
GSE147371,GVHD_CD4_Tem,3,23.65,0.53,24.18,21.4,93.3,18.9
GSE109125,Healthy_CD4_Naive,4,0.0,0.0,0.0,nan,nan,nan
GSE109125,Healthy_CD8_Naive_6wk,2,0.0,0.0,0.0,nan,nan,nan
GSE109125,Healthy_CD8_Naive_7wk,2,184.84,0.0,184.84,16.4,nan,16.4
GSE109125,CD8_Naive_alt,2,0.0,1.29,1.29,nan,141.4,141.4
GSE109125,CD8_MPEC,2,144.08,2.17,146.25,30.6,141.4,32.2
GSE109125,CD8_Tcm,2,230.52,0.0,230.52,0.8,nan,0.8
GSE109125,CD8_Effector_SLEC,1,330.5,0.0,330.5,nan,nan,nan
GSE203167,WT_Pre,3,9.03,13.07,22.09,116.3,60.2,82.8
GSE203167,WT_Post7,3,40.44,23.55,63.99,99.2,100.2,99.6
GSE203167,TCF7cKO_Pre,3,15.64,6.37,22.0,10.9,173.2,57.4
GSE203167,TCF7cKO_Post7,3,174.52,78.6,253.12,19.9,27.9,21.5
GSE119943,Arm_D4.5_EarlyEffector,3,89.79,23.68,113.47,8.1,50.9,4.4
GSE119943,Arm_D7_MPEC,3,140.82,0.0,140.82,7.3,nan,7.3
GSE119943,Arm_D7_SLEC,3,160.27,0.0,160.27,7.6,nan,7.6
GSE119943,Cl13_D7_Progenitor,2,55.23,0.0,55.23,68.4,nan,68.4
GSE119943,Cl13_D7_TermExhausted,2,62.09,4.24,66.33,71.1,141.4,57.5
GSE119943,pMIG_Cl13_Progenitor,3,48.21,35.89,84.1,9.8,12.9,6.3
GSE119943,pMIG_Cl13_TermExhausted,3,71.51,45.96,117.46,9.5,26.4,7.8
