dataset,condition,pct_203,pct_204,pct_206,pct_allRI,share_203_of_RI
GSE109125,Healthy_CD4_Naive,0.0,44.7,25.0,69.7,0
GSE109125,Healthy_CD8_Naive_6wk,0.0,49.0,10.1,59.1,0
GSE109125,Healthy_CD8_Naive_7wk,15.6,6.8,2.0,24.4,64
GSE109125,CD8_MPEC,12.8,6.7,2.2,21.7,59
GSE109125,CD8_Tcm,18.9,11.5,3.7,34.1,55
GSE109125,CD8_Effector_SLEC,20.9,10.3,3.2,34.4,61
GSE147371,GVHD_CD4_Tn,10.6,2.7,2.6,15.9,67
GSE147371,GVHD_CD4_Tem,14.1,9.6,4.3,28.0,50
GSE203167,WT_Pre,0.7,16.3,4.4,21.4,3
GSE203167,WT_Post7,1.0,1.6,0.8,3.4,29
GSE203167,TCF7cKO_Pre,1.8,7.4,4.9,14.1,13
GSE203167,TCF7cKO_Post7,1.0,1.1,0.3,2.4,42
GSE119943,Arm_D4.5_EarlyEffector,0.0,5.0,1.2,6.2,0
GSE119943,Arm_D7_MPEC,6.5,10.4,1.0,17.9,36
GSE119943,Arm_D7_SLEC,7.0,9.7,1.0,17.7,40
GSE119943,Cl13_D7_Progenitor,1.8,8.5,2.6,12.9,14
GSE119943,Cl13_D7_TermExhausted,1.9,8.7,2.7,13.3,14
GSE119943,pMIG_Cl13_Progenitor,7.5,6.9,2.2,16.6,45
GSE119943,pMIG_Cl13_TermExhausted,3.0,10.0,2.1,15.1,20
