dataset,condition,n,pct202_of6,pct203_of6,pct204_of6,pct206_of6,RI_pct_6iso,share_203_of_RI,pct203_of6_ver16,RI_pct_5iso_ver16
GSE147371,GVHD_CD4_Tn,1,0.0,10.61,2.7,2.55,15.87,67,10.61,15.87
GSE147371,GVHD_CD4_Tem,3,1.13,14.12,9.61,4.3,28.03,50,14.31,28.4
GSE109125,Healthy_CD4_Naive,4,0.0,0.0,44.67,24.98,69.65,0,0.0,69.65
GSE109125,Healthy_CD8_Naive_6wk,2,0.0,0.0,49.01,10.12,59.13,0,0.0,59.13
GSE109125,Healthy_CD8_Naive_7wk,2,0.0,15.64,6.75,2.02,24.42,64,15.64,24.42
GSE109125,CD8_Naive_alt,2,10.31,0.0,50.1,10.88,60.97,0,0.0,68.83
GSE109125,CD8_MPEC,2,0.73,12.75,6.67,2.23,21.65,59,12.85,21.82
GSE109125,CD8_Tcm,2,0.0,18.89,11.55,3.68,34.12,55,18.89,34.12
GSE109125,CD8_Effector_SLEC,1,0.0,20.89,10.32,3.23,34.44,61,20.89,34.44
GSE203167,WT_Pre,3,37.5,0.74,16.26,4.36,21.36,3,1.29,33.03
GSE203167,WT_Post7,3,32.71,1.05,1.65,0.79,3.48,30,1.54,5.16
GSE203167,TCF7cKO_Pre,3,11.53,1.83,7.44,4.88,14.15,13,2.48,15.94
GSE203167,TCF7cKO_Post7,3,28.28,1.01,1.13,0.29,2.42,42,1.4,3.38
GSE119943,Arm_D4.5_EarlyEffector,3,16.39,0.0,5.0,1.15,6.15,0,0.0,7.41
GSE119943,Arm_D7_MPEC,3,0.0,6.47,10.35,1.03,17.86,36,6.47,17.86
GSE119943,Arm_D7_SLEC,3,0.0,7.01,9.66,1.0,17.67,40,7.01,17.67
GSE119943,Cl13_D7_Progenitor,2,0.0,1.76,8.52,2.6,12.88,14,1.76,12.88
GSE119943,Cl13_D7_TermExhausted,2,5.44,1.89,8.71,2.72,13.32,14,1.89,14.1
GSE119943,pMIG_Cl13_Progenitor,3,24.96,7.5,6.94,2.21,16.65,45,10.0,22.15
GSE119943,pMIG_Cl13_TermExhausted,3,22.81,2.96,10.0,2.13,15.09,20,3.89,19.59
