dataset,condition,n,pct_Klrk1-201,pct_Klrk1-205/202,pct_Klrk1-203,pct_Klrk1-204,pct_Klrk1-206,RI_pct,share_203_of_RI
GSE147371,GVHD_CD4_Tn,1,55.71,28.42,10.61,2.7,2.55,15.87,67
GSE147371,GVHD_CD4_Tem,3,47.71,24.25,14.12,9.61,4.3,28.03,50
GSE109125,Healthy_CD4_Naive,4,0.0,30.35,0.0,44.67,24.98,69.65,0
GSE109125,Healthy_CD8_Naive_6wk,2,0.0,40.87,0.0,49.01,10.12,59.13,0
GSE109125,Healthy_CD8_Naive_7wk,2,59.36,16.22,15.64,6.75,2.02,24.42,64
GSE109125,CD8_Naive_alt,2,0.0,39.03,0.0,50.1,10.88,60.97,0
GSE109125,CD8_MPEC,2,59.06,19.29,12.75,6.67,2.23,21.65,59
GSE109125,CD8_Tcm,2,48.15,17.73,18.89,11.55,3.68,34.12,55
GSE109125,CD8_Effector_SLEC,1,47.82,17.74,20.89,10.32,3.23,34.44,61
GSE203167,WT_Pre,3,21.35,57.29,0.74,16.26,4.36,21.36,3
GSE203167,WT_Post7,3,55.68,40.84,1.05,1.65,0.79,3.48,30
GSE203167,TCF7cKO_Pre,3,44.12,41.73,1.83,7.44,4.88,14.15,13
GSE203167,TCF7cKO_Post7,3,63.27,34.31,1.01,1.13,0.29,2.42,42
GSE119943,Arm_D4.5_EarlyEffector,3,63.0,30.85,0.0,5.0,1.15,6.15,0
GSE119943,Arm_D7_MPEC,3,56.75,25.39,6.47,10.35,1.03,17.86,36
GSE119943,Arm_D7_SLEC,3,57.73,24.6,7.01,9.66,1.0,17.67,40
GSE119943,Cl13_D7_Progenitor,2,52.62,34.5,1.76,8.52,2.6,12.88,14
GSE119943,Cl13_D7_TermExhausted,2,47.13,39.55,1.89,8.71,2.72,13.32,14
GSE119943,pMIG_Cl13_Progenitor,3,33.45,49.89,7.5,6.94,2.21,16.65,45
GSE119943,pMIG_Cl13_TermExhausted,3,35.48,49.43,2.96,10.0,2.13,15.09,20
