sample_id,condition,transcript_id,isoform,biotype,TPM,total_klrk1,proportion
pMIG_Cl13_Prog_1,pMIG_Cl13_Progenitor,ENSMUST00000032252,Klrk1-201,protein_coding,53.508377,141.603011,37.78759831597084
pMIG_Cl13_Prog_1,pMIG_Cl13_Progenitor,ENSMUST00000095412,Klrk1-202,protein_coding,35.115577,141.603011,24.79860897873139
pMIG_Cl13_Prog_1,pMIG_Cl13_Progenitor,ENSMUST00000168919,Klrk1-205,protein_coding,36.819699,141.603011,26.002059377113103
pMIG_Cl13_Prog_1,pMIG_Cl13_Progenitor,ENSMUST00000137660,Klrk1-203,retained_intron,1.786311,141.603011,1.2614922432687536
pMIG_Cl13_Prog_1,pMIG_Cl13_Progenitor,ENSMUST00000152256,Klrk1-204,retained_intron,11.171755,141.603011,7.889489722785625
pMIG_Cl13_Prog_1,pMIG_Cl13_Progenitor,ENSMUST00000204694,Klrk1-206,retained_intron,3.201292,141.603011,2.260751362130287
pMIG_Cl13_Prog_2,pMIG_Cl13_Progenitor,ENSMUST00000032252,Klrk1-201,protein_coding,44.52367,140.312157,31.73186910668047
pMIG_Cl13_Prog_2,pMIG_Cl13_Progenitor,ENSMUST00000095412,Klrk1-202,protein_coding,40.838977,140.312157,29.10580086086197
pMIG_Cl13_Prog_2,pMIG_Cl13_Progenitor,ENSMUST00000168919,Klrk1-205,protein_coding,30.869104,140.312157,22.000306074690304
pMIG_Cl13_Prog_2,pMIG_Cl13_Progenitor,ENSMUST00000137660,Klrk1-203,retained_intron,13.964234,140.312157,9.952262368826672
pMIG_Cl13_Prog_2,pMIG_Cl13_Progenitor,ENSMUST00000152256,Klrk1-204,retained_intron,6.844068,140.312157,4.87774412875714
pMIG_Cl13_Prog_2,pMIG_Cl13_Progenitor,ENSMUST00000204694,Klrk1-206,retained_intron,3.272104,140.312157,2.3320174601834394
pMIG_Cl13_Prog_3,pMIG_Cl13_Progenitor,ENSMUST00000032252,Klrk1-201,protein_coding,46.606272,151.110926,30.842423664321927
pMIG_Cl13_Prog_3,pMIG_Cl13_Progenitor,ENSMUST00000095412,Klrk1-202,protein_coding,31.706199,151.110926,20.98206915891707
pMIG_Cl13_Prog_3,pMIG_Cl13_Progenitor,ENSMUST00000168919,Klrk1-205,protein_coding,40.490624,151.110926,26.79529870659385
pMIG_Cl13_Prog_3,pMIG_Cl13_Progenitor,ENSMUST00000137660,Klrk1-203,retained_intron,17.051737,151.110926,11.284251543796376
pMIG_Cl13_Prog_3,pMIG_Cl13_Progenitor,ENSMUST00000152256,Klrk1-204,retained_intron,12.165012,151.110926,8.05038544995747
pMIG_Cl13_Prog_3,pMIG_Cl13_Progenitor,ENSMUST00000204694,Klrk1-206,retained_intron,3.091082,151.110926,2.0455714764132935
pMIG_Cl13_TermEx_1,pMIG_Cl13_TermExhausted,ENSMUST00000032252,Klrk1-201,protein_coding,78.549384,220.618966,35.60409398347012
pMIG_Cl13_TermEx_1,pMIG_Cl13_TermExhausted,ENSMUST00000095412,Klrk1-202,protein_coding,42.104595,220.618966,19.08475765406316
pMIG_Cl13_TermEx_1,pMIG_Cl13_TermExhausted,ENSMUST00000168919,Klrk1-205,protein_coding,60.227144,220.618966,27.299168830299024
pMIG_Cl13_TermEx_1,pMIG_Cl13_TermExhausted,ENSMUST00000137660,Klrk1-203,retained_intron,11.331586,220.618966,5.1362701065329075
pMIG_Cl13_TermEx_1,pMIG_Cl13_TermExhausted,ENSMUST00000152256,Klrk1-204,retained_intron,22.942707,220.618966,10.399245094821087
pMIG_Cl13_TermEx_1,pMIG_Cl13_TermExhausted,ENSMUST00000204694,Klrk1-206,retained_intron,5.46355,220.618966,2.476464330813698
pMIG_Cl13_TermEx_2,pMIG_Cl13_TermExhausted,ENSMUST00000032252,Klrk1-201,protein_coding,65.054156,200.11912700000002,32.50771526701693
pMIG_Cl13_TermEx_2,pMIG_Cl13_TermExhausted,ENSMUST00000095412,Klrk1-202,protein_coding,59.532329,200.11912700000002,29.74844528479279
pMIG_Cl13_TermEx_2,pMIG_Cl13_TermExhausted,ENSMUST00000168919,Klrk1-205,protein_coding,46.650353,200.11912700000002,23.311291478899964
pMIG_Cl13_TermEx_2,pMIG_Cl13_TermExhausted,ENSMUST00000137660,Klrk1-203,retained_intron,7.494295,200.11912700000002,3.744916896424398
pMIG_Cl13_TermEx_2,pMIG_Cl13_TermExhausted,ENSMUST00000152256,Klrk1-204,retained_intron,18.144514,200.11912700000002,9.066856462950689
pMIG_Cl13_TermEx_2,pMIG_Cl13_TermExhausted,ENSMUST00000204694,Klrk1-206,retained_intron,3.24348,200.11912700000002,1.620774609915223
pMIG_Cl13_TermEx_3,pMIG_Cl13_TermExhausted,ENSMUST00000032252,Klrk1-201,protein_coding,70.914925,185.011024,38.33010783184466
pMIG_Cl13_TermEx_3,pMIG_Cl13_TermExhausted,ENSMUST00000095412,Klrk1-202,protein_coding,36.237424,185.011024,19.58662960537962
pMIG_Cl13_TermEx_3,pMIG_Cl13_TermExhausted,ENSMUST00000168919,Klrk1-205,protein_coding,54.112287,185.011024,29.24814199179829
pMIG_Cl13_TermEx_3,pMIG_Cl13_TermExhausted,ENSMUST00000137660,Klrk1-203,retained_intron,0.0,185.011024,0.0
pMIG_Cl13_TermEx_3,pMIG_Cl13_TermExhausted,ENSMUST00000152256,Klrk1-204,retained_intron,19.504819,185.011024,10.542517185354319
pMIG_Cl13_TermEx_3,pMIG_Cl13_TermExhausted,ENSMUST00000204694,Klrk1-206,retained_intron,4.241569,185.011024,2.2926033856231185
Arm_D4.5_EarlyEff_1,Arm_D4.5_EarlyEffector,ENSMUST00000032252,Klrk1-201,protein_coding,87.948979,140.17473999999999,62.742387822513535
Arm_D4.5_EarlyEff_1,Arm_D4.5_EarlyEffector,ENSMUST00000095412,Klrk1-202,protein_coding,24.325912,140.17473999999999,17.353991168451607
Arm_D4.5_EarlyEff_1,Arm_D4.5_EarlyEffector,ENSMUST00000168919,Klrk1-205,protein_coding,20.424957,140.17473999999999,14.571068225273685
