dataset,condition,sample,TPM_201,TPM_202,TPM_203,TPM_204,TPM_205,TPM_206,total6_TPM
GSE147371,GVHD_CD4_Tn,Tn_GSM4427970_28_29,1.4162,0.0,0.2698,0.0687,0.7224,0.0649,2.5419
GSE147371,GVHD_CD4_Tem,Tem_GSM4427964_22_23,19.1199,0.9835,7.3249,5.7047,10.4196,2.5336,46.0862
GSE147371,GVHD_CD4_Tem,Tem_GSM4427966_24_25,22.7298,0.6128,7.7625,3.3781,11.9393,2.0521,48.4747
GSE147371,GVHD_CD4_Tem,Tem_GSM4427968_26_27,29.1067,0.0,5.5625,5.0396,11.7569,1.6849,53.1506
GSE109125,Healthy_CD4_Naive,Healthy_CD4Nve_1,0.0,0.0,0.0,0.206,0.5358,0.0881,0.8299
GSE109125,Healthy_CD4_Naive,Healthy_CD4Nve_2,0.0,0.0,0.0,0.4047,0.1685,0.5661,1.1393
GSE109125,Healthy_CD4_Naive,Healthy_CD4Nve_3,0.0,0.0,0.0,0.1903,0.142,0.0821,0.4144
GSE109125,Healthy_CD4_Naive,Healthy_CD4Nve_4,0.0,0.0,0.0,0.4747,0.0511,0.1298,0.6556
GSE109125,Healthy_CD8_Naive_6wk,Healthy_CD8Nve_1,0.0,0.0,0.0,4.5828,5.4618,1.2078,11.2524
GSE109125,Healthy_CD8_Naive_6wk,Healthy_CD8Nve_2,0.0,0.0,0.0,10.7543,6.2317,1.7857,18.7717
GSE109125,Healthy_CD8_Naive_7wk,Healthy_CD8Nve_3,206.2379,0.0,62.3445,20.9901,53.6596,6.7962,350.0283
GSE109125,Healthy_CD8_Naive_7wk,Healthy_CD8Nve_4,163.4483,0.0,36.844,20.5328,46.7961,5.7414,273.3626
GSE109125,CD8_Naive_alt,CD8_Naive_1,0.0,0.0,0.0,4.2244,3.3121,1.0606,8.597
GSE109125,CD8_Naive_alt,CD8_Naive_2,0.0,2.5843,0.0,6.3967,2.3682,1.1805,12.5297
GSE109125,CD8_Effector_SLEC,CD8_Effector_1,330.4983,0.0,144.3917,71.3552,122.6184,22.3182,691.1818
GSE109125,CD8_Tcm,CD8_Tcm_1,231.9034,0.0,77.0229,57.1794,87.4869,18.7031,472.2957
GSE109125,CD8_Tcm,CD8_Tcm_2,229.1403,0.0,104.2412,53.3478,82.1819,16.5303,485.4415
GSE109125,CD8_MPEC,CD8_MPEC_1,175.2274,4.3346,38.7921,22.5984,51.0525,6.748,298.7531
GSE109125,CD8_MPEC,CD8_MPEC_2,112.9294,0.0,23.7797,10.971,38.0503,4.1713,189.9017
GSE203167,WT_Pre,WT_Pre_1,20.544,22.0673,0.1976,1.1729,13.8432,2.1381,59.9631
GSE203167,WT_Pre,WT_Pre_2,0.0,7.4474,0.0,8.6409,5.8525,1.6968,23.6377
GSE203167,WT_Pre,WT_Pre_3,6.5321,9.694,0.4118,2.255,2.532,0.5133,21.9382
GSE203167,WT_Post7,WT_Post7_1,34.1522,19.3527,1.0324,1.0419,5.4632,0.1793,61.2217
GSE203167,WT_Post7,WT_Post7_2,3.8373,2.3331,0.0,0.041,0.567,0.1254,6.9037
GSE203167,WT_Post7,WT_Post7_3,83.3198,48.975,2.1692,3.9554,10.8548,0.383,149.6572
GSE203167,TCF7cKO_Pre,TCF7cKO_Pre_1,17.4777,19.101,2.0277,1.8196,13.033,1.7671,55.2262
GSE203167,TCF7cKO_Pre,TCF7cKO_Pre_2,15.3303,0.0,0.0,2.6595,11.4419,1.9399,31.3716
GSE203167,TCF7cKO_Pre,TCF7cKO_Pre_3,14.1045,0.0,0.4933,2.8712,8.3015,1.4294,27.1999
GSE203167,TCF7cKO_Post7,TCF7cKO_Post7_1,188.0674,73.0284,3.8381,3.5818,19.5478,0.5969,288.6604
GSE203167,TCF7cKO_Post7,TCF7cKO_Post7_2,135.0853,59.9975,1.0922,2.0182,11.9663,1.2063,211.3658
GSE203167,TCF7cKO_Post7,TCF7cKO_Post7_3,200.4089,102.7806,3.888,3.8977,18.6902,0.3105,329.9759
GSE119943,pMIG_Cl13_Progenitor,pMIG_Cl13_Prog_1,53.5084,35.1156,1.7863,11.1718,36.8197,3.2013,141.603
GSE119943,pMIG_Cl13_Progenitor,pMIG_Cl13_Prog_2,44.5237,40.839,13.9642,6.8441,30.8691,3.2721,140.3122
GSE119943,pMIG_Cl13_Progenitor,pMIG_Cl13_Prog_3,46.6063,31.7062,17.0517,12.165,40.4906,3.0911,151.1109
GSE119943,pMIG_Cl13_TermExhausted,pMIG_Cl13_TermEx_1,78.5494,42.1046,11.3316,22.9427,60.2271,5.4635,220.619
GSE119943,pMIG_Cl13_TermExhausted,pMIG_Cl13_TermEx_2,65.0542,59.5323,7.4943,18.1445,46.6504,3.2435,200.1191
GSE119943,pMIG_Cl13_TermExhausted,pMIG_Cl13_TermEx_3,70.9149,36.2374,0.0,19.5048,54.1123,4.2416,185.011
GSE119943,Arm_D4.5_EarlyEffector,Arm_D4.5_EarlyEff_1,87.949,24.3259,0.0,5.733,20.425,1.7419,140.1747
GSE119943,Arm_D4.5_EarlyEffector,Arm_D4.5_EarlyEff_2,97.8325,11.3207,0.0,7.6362,21.0126,1.3828,139.1849
