sample_id,condition,cell_type,dataset,transcript_id,isoform,biotype,TPM,total_klrk1,proportion,unit
Healthy_CD4Nve_1,Healthy_CD4_Naive,CD4+,GSE109125,ENSMUST00000032252,Klrk1-201,protein_coding,0.0,0.829923,0.0,Klrk1-201
Healthy_CD4Nve_1,Healthy_CD4_Naive,CD4+,GSE109125,ENSMUST00000095412,Klrk1-202,protein_coding,0.0,0.829923,0.0,Klrk1-205/202
Healthy_CD4Nve_1,Healthy_CD4_Naive,CD4+,GSE109125,ENSMUST00000168919,Klrk1-205,protein_coding,0.535791,0.829923,64.5591217498491,Klrk1-205/202
Healthy_CD4Nve_1,Healthy_CD4_Naive,CD4+,GSE109125,ENSMUST00000137660,Klrk1-203,retained_intron,0.0,0.829923,0.0,Klrk1-203
Healthy_CD4Nve_1,Healthy_CD4_Naive,CD4+,GSE109125,ENSMUST00000152256,Klrk1-204,retained_intron,0.206026,0.829923,24.824712654065497,Klrk1-204
Healthy_CD4Nve_1,Healthy_CD4_Naive,CD4+,GSE109125,ENSMUST00000204694,Klrk1-206,retained_intron,0.088106,0.829923,10.616165596085422,Klrk1-206
Healthy_CD4Nve_2,Healthy_CD4_Naive,CD4+,GSE109125,ENSMUST00000032252,Klrk1-201,protein_coding,0.0,1.139342,0.0,Klrk1-201
Healthy_CD4Nve_2,Healthy_CD4_Naive,CD4+,GSE109125,ENSMUST00000095412,Klrk1-202,protein_coding,0.0,1.139342,0.0,Klrk1-205/202
Healthy_CD4Nve_2,Healthy_CD4_Naive,CD4+,GSE109125,ENSMUST00000168919,Klrk1-205,protein_coding,0.168533,1.139342,14.792134407403571,Klrk1-205/202
Healthy_CD4Nve_2,Healthy_CD4_Naive,CD4+,GSE109125,ENSMUST00000137660,Klrk1-203,retained_intron,0.0,1.139342,0.0,Klrk1-203
Healthy_CD4Nve_2,Healthy_CD4_Naive,CD4+,GSE109125,ENSMUST00000152256,Klrk1-204,retained_intron,0.404705,1.139342,35.52094103438651,Klrk1-204
Healthy_CD4Nve_2,Healthy_CD4_Naive,CD4+,GSE109125,ENSMUST00000204694,Klrk1-206,retained_intron,0.566104,1.139342,49.68692455820992,Klrk1-206
Healthy_CD4Nve_3,Healthy_CD4_Naive,CD4+,GSE109125,ENSMUST00000032252,Klrk1-201,protein_coding,0.0,0.41436,0.0,Klrk1-201
Healthy_CD4Nve_3,Healthy_CD4_Naive,CD4+,GSE109125,ENSMUST00000095412,Klrk1-202,protein_coding,0.0,0.41436,0.0,Klrk1-205/202
Healthy_CD4Nve_3,Healthy_CD4_Naive,CD4+,GSE109125,ENSMUST00000168919,Klrk1-205,protein_coding,0.141977,0.41436,34.26416642533063,Klrk1-205/202
Healthy_CD4Nve_3,Healthy_CD4_Naive,CD4+,GSE109125,ENSMUST00000137660,Klrk1-203,retained_intron,0.0,0.41436,0.0,Klrk1-203
Healthy_CD4Nve_3,Healthy_CD4_Naive,CD4+,GSE109125,ENSMUST00000152256,Klrk1-204,retained_intron,0.190276,0.41436,45.92045564243653,Klrk1-204
Healthy_CD4Nve_3,Healthy_CD4_Naive,CD4+,GSE109125,ENSMUST00000204694,Klrk1-206,retained_intron,0.082107,0.41436,19.815377932232842,Klrk1-206
Healthy_CD4Nve_4,Healthy_CD4_Naive,CD4+,GSE109125,ENSMUST00000032252,Klrk1-201,protein_coding,0.0,0.655585,0.0,Klrk1-201
Healthy_CD4Nve_4,Healthy_CD4_Naive,CD4+,GSE109125,ENSMUST00000095412,Klrk1-202,protein_coding,0.0,0.655585,0.0,Klrk1-205/202
Healthy_CD4Nve_4,Healthy_CD4_Naive,CD4+,GSE109125,ENSMUST00000168919,Klrk1-205,protein_coding,0.051081,0.655585,7.791666984449004,Klrk1-205/202
Healthy_CD4Nve_4,Healthy_CD4_Naive,CD4+,GSE109125,ENSMUST00000137660,Klrk1-203,retained_intron,0.0,0.655585,0.0,Klrk1-203
Healthy_CD4Nve_4,Healthy_CD4_Naive,CD4+,GSE109125,ENSMUST00000152256,Klrk1-204,retained_intron,0.474679,0.655585,72.40540890959983,Klrk1-204
Healthy_CD4Nve_4,Healthy_CD4_Naive,CD4+,GSE109125,ENSMUST00000204694,Klrk1-206,retained_intron,0.129825,0.655585,19.802924105951174,Klrk1-206
Healthy_CD8Nve_1,Healthy_CD8_Naive_6wk,CD8+,GSE109125,ENSMUST00000032252,Klrk1-201,protein_coding,0.0,11.252352,0.0,Klrk1-201
Healthy_CD8Nve_1,Healthy_CD8_Naive_6wk,CD8+,GSE109125,ENSMUST00000095412,Klrk1-202,protein_coding,0.0,11.252352,0.0,Klrk1-205/202
Healthy_CD8Nve_1,Healthy_CD8_Naive_6wk,CD8+,GSE109125,ENSMUST00000168919,Klrk1-205,protein_coding,5.461764,11.252352,48.53886547452479,Klrk1-205/202
Healthy_CD8Nve_1,Healthy_CD8_Naive_6wk,CD8+,GSE109125,ENSMUST00000137660,Klrk1-203,retained_intron,0.0,11.252352,0.0,Klrk1-203
Healthy_CD8Nve_1,Healthy_CD8_Naive_6wk,CD8+,GSE109125,ENSMUST00000152256,Klrk1-204,retained_intron,4.582762,11.252352,40.727147533244604,Klrk1-204
Healthy_CD8Nve_1,Healthy_CD8_Naive_6wk,CD8+,GSE109125,ENSMUST00000204694,Klrk1-206,retained_intron,1.207826,11.252352,10.733986992230603,Klrk1-206
Healthy_CD8Nve_2,Healthy_CD8_Naive_6wk,CD8+,GSE109125,ENSMUST00000032252,Klrk1-201,protein_coding,0.0,18.771663,0.0,Klrk1-201
Healthy_CD8Nve_2,Healthy_CD8_Naive_6wk,CD8+,GSE109125,ENSMUST00000095412,Klrk1-202,protein_coding,0.0,18.771663,0.0,Klrk1-205/202
Healthy_CD8Nve_2,Healthy_CD8_Naive_6wk,CD8+,GSE109125,ENSMUST00000168919,Klrk1-205,protein_coding,6.231692,18.771663,33.19733579278512,Klrk1-205/202
Healthy_CD8Nve_2,Healthy_CD8_Naive_6wk,CD8+,GSE109125,ENSMUST00000137660,Klrk1-203,retained_intron,0.0,18.771663,0.0,Klrk1-203
Healthy_CD8Nve_2,Healthy_CD8_Naive_6wk,CD8+,GSE109125,ENSMUST00000152256,Klrk1-204,retained_intron,10.75432,18.771663,57.290182548024646,Klrk1-204
Healthy_CD8Nve_2,Healthy_CD8_Naive_6wk,CD8+,GSE109125,ENSMUST00000204694,Klrk1-206,retained_intron,1.785651,18.771663,9.51248165919024,Klrk1-206
Healthy_CD8Nve_3,Healthy_CD8_Naive_7wk,CD8+,GSE109125,ENSMUST00000032252,Klrk1-201,protein_coding,206.237893,350.02830900000004,58.92034663973421,Klrk1-201
Healthy_CD8Nve_3,Healthy_CD8_Naive_7wk,CD8+,GSE109125,ENSMUST00000095412,Klrk1-202,protein_coding,0.0,350.02830900000004,0.0,Klrk1-205/202
Healthy_CD8Nve_3,Healthy_CD8_Naive_7wk,CD8+,GSE109125,ENSMUST00000168919,Klrk1-205,protein_coding,53.659564,350.02830900000004,15.330064060618593,Klrk1-205/202
Healthy_CD8Nve_3,Healthy_CD8_Naive_7wk,CD8+,GSE109125,ENSMUST00000137660,Klrk1-203,retained_intron,62.344531,350.02830900000004,17.811282515437917,Klrk1-203
Healthy_CD8Nve_3,Healthy_CD8_Naive_7wk,CD8+,GSE109125,ENSMUST00000152256,Klrk1-204,retained_intron,20.990136,350.02830900000004,5.9966966843244665,Klrk1-204
Healthy_CD8Nve_3,Healthy_CD8_Naive_7wk,CD8+,GSE109125,ENSMUST00000204694,Klrk1-206,retained_intron,6.796185,350.02830900000004,1.9416100998848065,Klrk1-206
Healthy_CD8Nve_4,Healthy_CD8_Naive_7wk,CD8+,GSE109125,ENSMUST00000032252,Klrk1-201,protein_coding,163.448273,273.362631,59.791739786115826,Klrk1-201
Healthy_CD8Nve_4,Healthy_CD8_Naive_7wk,CD8+,GSE109125,ENSMUST00000095412,Klrk1-202,protein_coding,0.0,273.362631,0.0,Klrk1-205/202
Healthy_CD8Nve_4,Healthy_CD8_Naive_7wk,CD8+,GSE109125,ENSMUST00000168919,Klrk1-205,protein_coding,46.796138,273.362631,17.118703397319877,Klrk1-205/202
Healthy_CD8Nve_4,Healthy_CD8_Naive_7wk,CD8+,GSE109125,ENSMUST00000137660,Klrk1-203,retained_intron,36.844039,273.362631,13.478081793849869,Klrk1-203
Healthy_CD8Nve_4,Healthy_CD8_Naive_7wk,CD8+,GSE109125,ENSMUST00000152256,Klrk1-204,retained_intron,20.532813,273.362631,7.511199656254405,Klrk1-204
Healthy_CD8Nve_4,Healthy_CD8_Naive_7wk,CD8+,GSE109125,ENSMUST00000204694,Klrk1-206,retained_intron,5.741368,273.362631,2.100275366460019,Klrk1-206
CD8_Naive_1,CD8_Naive_alt,CD8+,GSE109125,ENSMUST00000032252,Klrk1-201,protein_coding,0.0,8.597011,0.0,Klrk1-201
CD8_Naive_1,CD8_Naive_alt,CD8+,GSE109125,ENSMUST00000095412,Klrk1-202,protein_coding,0.0,8.597011,0.0,Klrk1-205/202
CD8_Naive_1,CD8_Naive_alt,CD8+,GSE109125,ENSMUST00000168919,Klrk1-205,protein_coding,3.312054,8.597011,38.525645715702815,Klrk1-205/202
CD8_Naive_1,CD8_Naive_alt,CD8+,GSE109125,ENSMUST00000137660,Klrk1-203,retained_intron,0.0,8.597011,0.0,Klrk1-203
CD8_Naive_1,CD8_Naive_alt,CD8+,GSE109125,ENSMUST00000152256,Klrk1-204,retained_intron,4.224405,8.597011,49.138066707138094,Klrk1-204
CD8_Naive_1,CD8_Naive_alt,CD8+,GSE109125,ENSMUST00000204694,Klrk1-206,retained_intron,1.060552,8.597011,12.336287577159084,Klrk1-206
CD8_Naive_2,CD8_Naive_alt,CD8+,GSE109125,ENSMUST00000032252,Klrk1-201,protein_coding,0.0,12.52971,0.0,Klrk1-201
CD8_Naive_2,CD8_Naive_alt,CD8+,GSE109125,ENSMUST00000095412,Klrk1-202,protein_coding,2.584306,12.52971,20.625425488698465,Klrk1-205/202
CD8_Naive_2,CD8_Naive_alt,CD8+,GSE109125,ENSMUST00000168919,Klrk1-205,protein_coding,2.368232,12.52971,18.900932264194463,Klrk1-205/202
CD8_Naive_2,CD8_Naive_alt,CD8+,GSE109125,ENSMUST00000137660,Klrk1-203,retained_intron,0.0,12.52971,0.0,Klrk1-203
CD8_Naive_2,CD8_Naive_alt,CD8+,GSE109125,ENSMUST00000152256,Klrk1-204,retained_intron,6.396693,12.52971,51.05220312361579,Klrk1-204
CD8_Naive_2,CD8_Naive_alt,CD8+,GSE109125,ENSMUST00000204694,Klrk1-206,retained_intron,1.180479,12.52971,9.421439123491286,Klrk1-206
CD8_Effector_1,CD8_Effector_SLEC,CD8+,GSE109125,ENSMUST00000032252,Klrk1-201,protein_coding,330.498319,691.181824,47.81640771271207,Klrk1-201
CD8_Effector_1,CD8_Effector_SLEC,CD8+,GSE109125,ENSMUST00000095412,Klrk1-202,protein_coding,0.0,691.181824,0.0,Klrk1-205/202
CD8_Effector_1,CD8_Effector_SLEC,CD8+,GSE109125,ENSMUST00000168919,Klrk1-205,protein_coding,122.618437,691.181824,17.740402415443146,Klrk1-205/202
CD8_Effector_1,CD8_Effector_SLEC,CD8+,GSE109125,ENSMUST00000137660,Klrk1-203,retained_intron,144.391667,691.181824,20.89054746323885,Klrk1-203
CD8_Effector_1,CD8_Effector_SLEC,CD8+,GSE109125,ENSMUST00000152256,Klrk1-204,retained_intron,71.355192,691.181824,10.32364994598006,Klrk1-204
CD8_Effector_1,CD8_Effector_SLEC,CD8+,GSE109125,ENSMUST00000204694,Klrk1-206,retained_intron,22.318209,691.181824,3.228992462625869,Klrk1-206
CD8_Tcm_1,CD8_Tcm,CD8+,GSE109125,ENSMUST00000032252,Klrk1-201,protein_coding,231.903366,472.295667,49.101311361384994,Klrk1-201
CD8_Tcm_1,CD8_Tcm,CD8+,GSE109125,ENSMUST00000095412,Klrk1-202,protein_coding,0.0,472.295667,0.0,Klrk1-205/202
CD8_Tcm_1,CD8_Tcm,CD8+,GSE109125,ENSMUST00000168919,Klrk1-205,protein_coding,87.486877,472.295667,18.523751775177733,Klrk1-205/202
CD8_Tcm_1,CD8_Tcm,CD8+,GSE109125,ENSMUST00000137660,Klrk1-203,retained_intron,77.022922,472.295667,16.30820000726367,Klrk1-203
CD8_Tcm_1,CD8_Tcm,CD8+,GSE109125,ENSMUST00000152256,Klrk1-204,retained_intron,57.179358,472.295667,12.106686974962233,Klrk1-204
CD8_Tcm_1,CD8_Tcm,CD8+,GSE109125,ENSMUST00000204694,Klrk1-206,retained_intron,18.703144,472.295667,3.960049881211382,Klrk1-206
CD8_Tcm_2,CD8_Tcm,CD8+,GSE109125,ENSMUST00000032252,Klrk1-201,protein_coding,229.140293,485.441455,47.20245678235288,Klrk1-201
CD8_Tcm_2,CD8_Tcm,CD8+,GSE109125,ENSMUST00000095412,Klrk1-202,protein_coding,0.0,485.441455,0.0,Klrk1-205/202
CD8_Tcm_2,CD8_Tcm,CD8+,GSE109125,ENSMUST00000168919,Klrk1-205,protein_coding,82.181885,485.441455,16.929309220202462,Klrk1-205/202
CD8_Tcm_2,CD8_Tcm,CD8+,GSE109125,ENSMUST00000137660,Klrk1-203,retained_intron,104.241213,485.441455,21.473488085190418,Klrk1-203
CD8_Tcm_2,CD8_Tcm,CD8+,GSE109125,ENSMUST00000152256,Klrk1-204,retained_intron,53.347813,485.441455,10.98954620593744,Klrk1-204
CD8_Tcm_2,CD8_Tcm,CD8+,GSE109125,ENSMUST00000204694,Klrk1-206,retained_intron,16.530251,485.441455,3.4051997063168,Klrk1-206
CD8_MPEC_1,CD8_MPEC,CD8+,GSE109125,ENSMUST00000032252,Klrk1-201,protein_coding,175.227435,298.753055,58.65293494655644,Klrk1-201
CD8_MPEC_1,CD8_MPEC,CD8+,GSE109125,ENSMUST00000095412,Klrk1-202,protein_coding,4.334598,298.753055,1.4508966276512218,Klrk1-205/202
CD8_MPEC_1,CD8_MPEC,CD8+,GSE109125,ENSMUST00000168919,Klrk1-205,protein_coding,51.052458,298.753055,17.088514124148453,Klrk1-205/202
CD8_MPEC_1,CD8_MPEC,CD8+,GSE109125,ENSMUST00000137660,Klrk1-203,retained_intron,38.792106,298.753055,12.984672575147387,Klrk1-203
CD8_MPEC_1,CD8_MPEC,CD8+,GSE109125,ENSMUST00000152256,Klrk1-204,retained_intron,22.59841,298.753055,7.564243987396213,Klrk1-204
CD8_MPEC_1,CD8_MPEC,CD8+,GSE109125,ENSMUST00000204694,Klrk1-206,retained_intron,6.748048,298.753055,2.2587377391002743,Klrk1-206
CD8_MPEC_2,CD8_MPEC,CD8+,GSE109125,ENSMUST00000032252,Klrk1-201,protein_coding,112.929358,189.90173099999998,59.4672609908964,Klrk1-201
CD8_MPEC_2,CD8_MPEC,CD8+,GSE109125,ENSMUST00000095412,Klrk1-202,protein_coding,0.0,189.90173099999998,0.0,Klrk1-205/202
CD8_MPEC_2,CD8_MPEC,CD8+,GSE109125,ENSMUST00000168919,Klrk1-205,protein_coding,38.050324,189.90173099999998,20.03684947979753,Klrk1-205/202
CD8_MPEC_2,CD8_MPEC,CD8+,GSE109125,ENSMUST00000137660,Klrk1-203,retained_intron,23.779736,189.90173099999998,12.522127036324909,Klrk1-203
CD8_MPEC_2,CD8_MPEC,CD8+,GSE109125,ENSMUST00000152256,Klrk1-204,retained_intron,10.971042,189.90173099999998,5.77722064050064,Klrk1-204
CD8_MPEC_2,CD8_MPEC,CD8+,GSE109125,ENSMUST00000204694,Klrk1-206,retained_intron,4.171271,189.90173099999998,2.196541852480534,Klrk1-206
GVHD_Tn,GVHD_CD4_Tn,CD4+,GSE147371,ENSMUST00000032252,Klrk1-201,protein_coding,1.416155,2.541923,55.71195508282509,Klrk1-201
GVHD_Tn,GVHD_CD4_Tn,CD4+,GSE147371,ENSMUST00000095412,Klrk1-202,protein_coding,0.0,2.541923,0.0,Klrk1-205/202
GVHD_Tn,GVHD_CD4_Tn,CD4+,GSE147371,ENSMUST00000168919,Klrk1-205,protein_coding,0.722357,2.541923,28.41773728000415,Klrk1-205/202
GVHD_Tn,GVHD_CD4_Tn,CD4+,GSE147371,ENSMUST00000137660,Klrk1-203,retained_intron,0.269816,2.541923,10.614640962767165,Klrk1-203
GVHD_Tn,GVHD_CD4_Tn,CD4+,GSE147371,ENSMUST00000152256,Klrk1-204,retained_intron,0.068681,2.541923,2.701930782325035,Klrk1-204
GVHD_Tn,GVHD_CD4_Tn,CD4+,GSE147371,ENSMUST00000204694,Klrk1-206,retained_intron,0.064914,2.541923,2.553735892078556,Klrk1-206
GVHD_Tem_1,GVHD_CD4_Tem,CD4+,GSE147371,ENSMUST00000032252,Klrk1-201,protein_coding,19.119896,46.086155,41.48728831901902,Klrk1-201
GVHD_Tem_1,GVHD_CD4_Tem,CD4+,GSE147371,ENSMUST00000095412,Klrk1-202,protein_coding,0.98347,46.086155,2.1339814527812093,Klrk1-205/202
GVHD_Tem_1,GVHD_CD4_Tem,CD4+,GSE147371,ENSMUST00000168919,Klrk1-205,protein_coding,10.419607,46.086155,22.608974430607194,Klrk1-205/202
GVHD_Tem_1,GVHD_CD4_Tem,CD4+,GSE147371,ENSMUST00000137660,Klrk1-203,retained_intron,7.324854,46.086155,15.893827549727247,Klrk1-203
GVHD_Tem_1,GVHD_CD4_Tem,CD4+,GSE147371,ENSMUST00000152256,Klrk1-204,retained_intron,5.704746,46.086155,12.378437732546793,Klrk1-204
GVHD_Tem_1,GVHD_CD4_Tem,CD4+,GSE147371,ENSMUST00000204694,Klrk1-206,retained_intron,2.533582,46.086155,5.497490515318538,Klrk1-206
GVHD_Tem_2,GVHD_CD4_Tem,CD4+,GSE147371,ENSMUST00000032252,Klrk1-201,protein_coding,22.729781,48.47466,46.890026665478416,Klrk1-201
GVHD_Tem_2,GVHD_CD4_Tem,CD4+,GSE147371,ENSMUST00000095412,Klrk1-202,protein_coding,0.612824,48.47466,1.2642151590129773,Klrk1-205/202
GVHD_Tem_2,GVHD_CD4_Tem,CD4+,GSE147371,ENSMUST00000168919,Klrk1-205,protein_coding,11.939282,48.47466,24.629944800025417,Klrk1-205/202
GVHD_Tem_2,GVHD_CD4_Tem,CD4+,GSE147371,ENSMUST00000137660,Klrk1-203,retained_intron,7.762541,48.47466,16.013605871603843,Klrk1-203
GVHD_Tem_2,GVHD_CD4_Tem,CD4+,GSE147371,ENSMUST00000152256,Klrk1-204,retained_intron,3.378088,48.47466,6.968770900095018,Klrk1-204
GVHD_Tem_2,GVHD_CD4_Tem,CD4+,GSE147371,ENSMUST00000204694,Klrk1-206,retained_intron,2.052144,48.47466,4.2334366037843285,Klrk1-206
GVHD_Tem_3,GVHD_CD4_Tem,CD4+,GSE147371,ENSMUST00000032252,Klrk1-201,protein_coding,29.106686,53.150598,54.762668897911546,Klrk1-201
GVHD_Tem_3,GVHD_CD4_Tem,CD4+,GSE147371,ENSMUST00000095412,Klrk1-202,protein_coding,0.0,53.150598,0.0,Klrk1-205/202
GVHD_Tem_3,GVHD_CD4_Tem,CD4+,GSE147371,ENSMUST00000168919,Klrk1-205,protein_coding,11.756891,53.150598,22.119959967336584,Klrk1-205/202
GVHD_Tem_3,GVHD_CD4_Tem,CD4+,GSE147371,ENSMUST00000137660,Klrk1-203,retained_intron,5.562546,53.150598,10.465632014149682,Klrk1-203
GVHD_Tem_3,GVHD_CD4_Tem,CD4+,GSE147371,ENSMUST00000152256,Klrk1-204,retained_intron,5.039551,53.150598,9.481644966628599,Klrk1-204
GVHD_Tem_3,GVHD_CD4_Tem,CD4+,GSE147371,ENSMUST00000204694,Klrk1-206,retained_intron,1.684924,53.150598,3.170094153973583,Klrk1-206
