dataset,condition,n,TPM_Klrk1-201,TPM_Klrk1-205/202,TPM_Klrk1-203,TPM_Klrk1-204,TPM_Klrk1-206,total_TPM,pct_Klrk1-201,pct_Klrk1-205/202,pct_Klrk1-203,pct_Klrk1-204,pct_Klrk1-206,RI_pct,Klrk1_203_pct
GSE147371,GVHD_CD4_Tn,1,1.416,0.722,0.27,0.069,0.065,2.542,55.71,28.42,10.61,2.7,2.55,15.87,10.61
GSE147371,GVHD_CD4_Tem,3,23.652,11.904,6.883,4.707,2.09,49.237,47.71,24.25,14.12,9.61,4.3,28.03,14.12
GSE109125,Healthy_CD4_Naive,4,0.0,0.224,0.0,0.319,0.217,0.76,0.0,30.35,0.0,44.67,24.98,69.65,0.0
GSE109125,Healthy_CD8_Naive_6wk,2,0.0,5.847,0.0,7.669,1.497,15.012,0.0,40.87,0.0,49.01,10.12,59.13,0.0
GSE109125,Healthy_CD8_Naive_7wk,2,184.843,50.228,49.594,20.761,6.269,311.695,59.36,16.22,15.64,6.75,2.02,24.42,15.64
GSE109125,CD8_Naive_alt,2,0.0,4.132,0.0,5.311,1.121,10.563,0.0,39.03,0.0,50.1,10.88,60.97,0.0
GSE109125,CD8_MPEC,2,144.078,46.719,31.286,16.785,5.46,244.327,59.06,19.29,12.75,6.67,2.23,21.65,12.75
GSE109125,CD8_Tcm,2,230.522,84.834,90.632,55.264,17.617,478.869,48.15,17.73,18.89,11.55,3.68,34.12,18.89
GSE109125,CD8_Effector_SLEC,1,330.498,122.618,144.392,71.355,22.318,691.182,47.82,17.74,20.89,10.32,3.23,34.44,20.89
GSE203167,WT_Pre,3,9.025,20.479,0.203,4.023,1.449,35.18,21.35,57.29,0.74,16.26,4.36,21.36,0.74
GSE203167,WT_Post7,3,40.436,29.182,1.067,1.679,0.229,72.594,55.68,40.84,1.05,1.65,0.79,3.48,1.05
GSE203167,TCF7cKO_Pre,3,15.637,17.292,0.84,2.45,1.712,37.933,44.12,41.73,1.83,7.44,4.88,14.15,1.83
GSE203167,TCF7cKO_Post7,3,174.521,95.337,2.939,3.166,0.705,276.667,63.27,34.31,1.01,1.13,0.29,2.42,1.01
GSE119943,Arm_D4.5_EarlyEffector,3,89.792,44.308,0.0,7.157,1.652,142.91,63.0,30.85,0.0,5.0,1.15,6.15,0.0
GSE119943,Arm_D7_MPEC,3,140.817,62.959,16.166,25.687,2.562,248.192,56.75,25.39,6.47,10.35,1.03,17.86,6.47
GSE119943,Arm_D7_SLEC,3,160.275,68.278,19.469,26.778,2.795,277.595,57.73,24.6,7.01,9.66,1.0,17.67,7.01
GSE119943,Cl13_D7_Progenitor,2,55.225,34.271,2.653,8.91,2.406,103.465,52.62,34.5,1.76,8.52,2.6,12.88,1.76
GSE119943,Cl13_D7_TermExhausted,2,62.087,45.427,3.222,10.478,3.105,124.319,47.13,39.55,1.89,8.71,2.72,13.32,1.89
GSE119943,pMIG_Cl13_Progenitor,3,48.213,71.947,10.934,10.06,3.188,144.342,33.45,49.89,7.5,6.94,2.21,16.65,7.5
GSE119943,pMIG_Cl13_TermExhausted,3,71.506,99.621,6.275,20.197,4.316,201.916,35.48,49.43,2.96,10.0,2.13,15.09,2.96
