dataset,condition,n,TPM_201,TPM_202,TPM_203,TPM_204,TPM_205,TPM_206,total6_TPM,total5_TPM,pct201_6,pct202_6,pct203_6,pct204_6,pct205_6,pct206_6,RI_pct_6iso,Klrk1_203_pct_6iso,RI_pct_5iso_ver16,Klrk1_203_pct_5iso_ver16,delta_RI,delta_203
GSE147371,GVHD_CD4_Tn,1,1.416,0.0,0.27,0.069,0.722,0.065,2.542,2.542,55.71,0.0,10.61,2.7,28.42,2.55,15.87,10.61,15.87,10.61,0.0,0.0
GSE147371,GVHD_CD4_Tem,3,23.652,0.532,6.883,4.707,11.372,2.09,49.237,48.705,47.71,1.13,14.12,9.61,23.12,4.3,28.03,14.12,28.4,14.31,-0.36,-0.18
GSE109125,Healthy_CD4_Naive,4,0.0,0.0,0.0,0.319,0.224,0.217,0.76,0.76,0.0,0.0,0.0,44.67,30.35,24.98,69.65,0.0,69.65,0.0,0.0,0.0
GSE109125,Healthy_CD8_Naive_6wk,2,0.0,0.0,0.0,7.669,5.847,1.497,15.012,15.012,0.0,0.0,0.0,49.01,40.87,10.12,59.13,0.0,59.13,0.0,0.0,0.0
GSE109125,Healthy_CD8_Naive_7wk,2,184.843,0.0,49.594,20.761,50.228,6.269,311.695,311.695,59.36,0.0,15.64,6.75,16.22,2.02,24.42,15.64,24.42,15.64,0.0,0.0
GSE109125,CD8_Naive_alt,2,0.0,1.292,0.0,5.311,2.84,1.121,10.563,9.271,0.0,10.31,0.0,50.1,28.71,10.88,60.97,0.0,68.83,0.0,-7.86,0.0
GSE109125,CD8_MPEC,2,144.078,2.167,31.286,16.785,44.551,5.46,244.327,242.16,59.06,0.73,12.75,6.67,18.56,2.23,21.65,12.75,21.82,12.85,-0.17,-0.1
GSE109125,CD8_Tcm,2,230.522,0.0,90.632,55.264,84.834,17.617,478.869,478.869,48.15,0.0,18.89,11.55,17.73,3.68,34.12,18.89,34.12,18.89,0.0,0.0
GSE109125,CD8_Effector_SLEC,1,330.498,0.0,144.392,71.355,122.618,22.318,691.182,691.182,47.82,0.0,20.89,10.32,17.74,3.23,34.44,20.89,34.44,20.89,0.0,0.0
GSE203167,WT_Pre,3,9.025,13.07,0.203,4.023,7.409,1.449,35.18,22.11,21.35,37.5,0.74,16.26,19.8,4.36,21.36,0.74,33.03,1.29,-11.67,-0.56
GSE203167,WT_Post7,3,40.436,23.554,1.067,1.679,5.628,0.229,72.594,49.041,55.68,32.71,1.05,1.65,8.13,0.79,3.48,1.05,5.16,1.54,-1.68,-0.49
GSE203167,TCF7cKO_Pre,3,15.637,6.367,0.84,2.45,10.925,1.712,37.933,31.566,44.12,11.53,1.83,7.44,30.2,4.88,14.15,1.83,15.94,2.48,-1.79,-0.65
GSE203167,TCF7cKO_Post7,3,174.521,78.602,2.939,3.166,16.735,0.705,276.667,198.065,63.27,28.28,1.01,1.13,6.03,0.29,2.42,1.01,3.38,1.4,-0.95,-0.4
GSE119943,Arm_D4.5_EarlyEffector,3,89.792,23.681,0.0,7.157,20.627,1.652,142.91,119.229,63.0,16.39,0.0,5.0,14.45,1.15,6.15,0.0,7.41,0.0,-1.25,0.0
GSE119943,Arm_D7_MPEC,3,140.817,0.0,16.166,25.687,62.959,2.562,248.192,248.192,56.75,0.0,6.47,10.35,25.39,1.03,17.86,6.47,17.86,6.47,0.0,0.0
GSE119943,Arm_D7_SLEC,3,160.275,0.0,19.469,26.778,68.278,2.795,277.595,277.595,57.73,0.0,7.01,9.66,24.6,1.0,17.67,7.01,17.67,7.01,0.0,0.0
GSE119943,Cl13_D7_Progenitor,2,55.225,0.0,2.653,8.91,34.271,2.406,103.465,103.465,52.62,0.0,1.76,8.52,34.5,2.6,12.88,1.76,12.88,1.76,0.0,0.0
GSE119943,Cl13_D7_TermExhausted,2,62.087,4.242,3.222,10.478,41.185,3.105,124.319,120.077,47.13,5.44,1.89,8.71,34.12,2.72,13.32,1.89,14.1,1.89,-0.78,0.0
GSE119943,pMIG_Cl13_Progenitor,3,48.213,35.887,10.934,10.06,36.06,3.188,144.342,108.455,33.45,24.96,7.5,6.94,24.93,2.21,16.65,7.5,22.15,10.0,-5.5,-2.5
GSE119943,pMIG_Cl13_TermExhausted,3,71.506,45.958,6.275,20.197,53.663,4.316,201.916,155.958,35.48,22.81,2.96,10.0,26.62,2.13,15.09,2.96,19.59,3.89,-4.5,-0.93
