start,end,length_bp,members,type
129587286,129589376,2091,205,exclusive:205
129589377,129589422,46,201|205,shared
129589423,129589866,444,201|202|205,shared
129591566,129591669,104,201|202|205,shared
129592272,129592423,152,201|202|205,shared
129593260,129593295,36,201|202|205,shared
129593296,129593313,18,205,exclusive:205
129593456,129593530,75,204,exclusive:204
129593531,129593631,101,203|204,shared
129593632,129593736,105,201|202|203|204|205,shared
129593737,129594445,709,204,exclusive:204
129594446,129594484,39,201|202|203|204|205,shared
129597565,129598097,533,206,exclusive:206
129598098,129598205,108,201|202|203|204|205|206,shared
129598206,129599499,1294,206,exclusive:206
129599500,129599544,45,201|203|204|206,shared
129599545,129599647,103,201|203|206,shared
129599648,129599735,88,201|206,shared
129599736,129600773,1038,206,exclusive:206
129600774,129600804,31,202|205|206,shared
129600805,129600823,19,205|206,shared
129600824,129600827,4,205,exclusive:205
